IDCREDITO,Duracao,HISTORICO,PROPOSITO,Valor,INVESTIMENTOS,EMPREGO,TempoParcelamento,ESTADOCIVIL,FIADOR,ResidenciaDesde,Idade,OUTROSFINANCIAMENTOS,HABITACAO,EmprestimoExistente,PROFISSAO,Dependentes,SocioEmpresa,Estrangeiro,Status
191,24,existentes/pagos,abrir negocio,4591,>=1000,1<=X<4,2,masculino solteiro,nao,3,54,nenhum,proria,3,altamente qualificado/empresario,1,1,0,0
192,48,sem creditos/todos pagos,abrir negocio,3844,100<=X<500,4<=X<7,4,masculino solteiro,nao,4,34,nenhum,de graca,1,nao qualificado,2,0,0,0
193,27,existentes/pagos,abrir negocio,3915,"<100
",1<=X<4,4,masculino solteiro,nao,2,36,nenhum,proria,1,qualificado,2,1,0,0
194,6,existentes/pagos,reforma,2108,"<100
",4<=X<7,2,masculino cas/viu,nao,2,29,nenhum,alugada,1,qualificado,1,0,0,1
195,45,existentes/pagos,reforma,3031,100<=X<500,1<=X<4,4,masculino solteiro,sim,4,21,nenhum,alugada,1,qualificado,1,0,0,0
196,9,Critico-outros creditos,educacao,1501,"<100
",>=7,2,feminino div/dep/cas,nao,3,34,nenhum,proria,2,altamente qualificado/empresario,1,1,0,0
197,6,Critico-outros creditos,reforma,1382,"<100
",1<=X<4,1,feminino div/dep/cas,nao,1,28,nenhum,proria,2,qualificado,1,1,0,1
198,12,existentes/pagos,moveis,951,100<=X<500,<1,4,feminino div/dep/cas,nao,4,27,banco,alugada,4,qualificado,1,0,0,0
201,9,Critico-outros creditos,educacao,936,500<=X<1000,>=7,4,masculino solteiro,nao,2,52,nenhum,proria,2,qualificado,1,1,0,1
202,12,existentes/pagos,veiculo novo,1168,"<100
",1<=X<4,4,masculino cas/viu,nao,3,27,nenhum,proria,1,nao qualificado,1,0,0,1
203,27,Atrasos anteriores,abrir negocio,5117,"<100
",4<=X<7,3,masculino solteiro,nao,4,26,nenhum,proria,2,qualificado,1,0,0,1
204,12,existentes/pagos,qualificacao,902,"<100
",4<=X<7,4,masculino cas/viu,nao,4,21,nenhum,alugada,1,qualificado,1,0,0,0
205,12,Critico-outros creditos,veiculo novo,1495,"<100
",>=7,4,masculino solteiro,nao,1,38,nenhum,proria,2,nao qualificado,2,0,0,1
206,30,Critico-outros creditos,veiculo usado,10623,"<100
",>=7,3,masculino solteiro,nao,4,38,nenhum,de graca,3,altamente qualificado/empresario,2,1,0,1
207,12,Critico-outros creditos,moveis,1935,"<100
",>=7,4,masculino solteiro,nao,4,43,nenhum,proria,3,qualificado,1,1,0,1
208,12,Critico-outros creditos,quitar divida,1424,"<100
",4<=X<7,4,masculino solteiro,nao,3,26,nenhum,proria,1,qualificado,1,0,0,1
209,24,existentes/pagos,abrir negocio,6568,"<100
",1<=X<4,2,masculino cas/viu,nao,2,21,loja,proria,1,nao qualificado,1,0,0,1
210,12,existentes/pagos,veiculo usado,1413,>=1000,4<=X<7,3,masculino solteiro,nao,2,55,nenhum,proria,1,qualificado,1,0,1,1
169,24,NULL,moveis,3972,"<100
",4<=X<7,2,feminino div/dep/cas,nao,4,25,nenhum,alugada,1,qualificado,1,1,0,1
145,21,Critico-outros creditos,moveis,2288,"<100
",NULL,4,feminino div/dep/cas,nao,4,23,nenhum,NULL,1,qualificado,1,1,0,1
174,8,existentes/pagos,reforma,1414,"<100
",1<=X<4,4,masculino solteiro,sim,2,33,nenhum,proria,1,NULL,1,0,1,1
211,9,Critico-outros creditos,reforma,3074,"Desconhecido
",1<=X<4,1,masculino solteiro,nao,2,33,nenhum,proria,2,qualificado,2,0,0,1
212,36,existentes/pagos,reforma,3835,"Desconhecido
",>=7,2,feminino div/dep/cas,nao,4,45,nenhum,proria,1,nao qualificado,1,1,0,1
213,27,sem creditos/todos pagos,abrir negocio,5293,"<100
",Desempregado,2,masculino solteiro,nao,4,50,loja,proria,2,qualificado,1,1,0,0
214,30,Atrasos anteriores,abrir negocio,1908,"<100
",>=7,4,masculino solteiro,nao,4,66,nenhum,proria,1,altamente qualificado/empresario,1,1,0,0
215,36,Critico-outros creditos,reforma,3342,"Desconhecido
",>=7,4,masculino solteiro,nao,2,51,nenhum,proria,1,qualificado,1,1,0,1
216,6,Critico-outros creditos,qualificacao,932,"Desconhecido
",4<=X<7,1,feminino div/dep/cas,nao,3,39,nenhum,proria,2,nao qualificado,1,0,0,1
217,18,sem creditos/todos pagos,abrir negocio,3104,"<100
",4<=X<7,3,masculino solteiro,nao,1,31,banco,proria,1,qualificado,1,1,0,1
218,36,existentes/pagos,reforma,3913,"<100
",1<=X<4,2,masculino solteiro,nao,2,23,nenhum,proria,1,qualificado,1,1,0,1
219,24,existentes/pagos,moveis,3021,"<100
",1<=X<4,2,maculino div/dep,nao,2,24,nenhum,alugada,1,nao qualificado,1,0,0,1
220,10,existentes/pagos,veiculo novo,1364,"<100
",1<=X<4,2,feminino div/dep/cas,nao,4,64,nenhum,proria,1,qualificado,1,1,0,1
221,12,existentes/pagos,reforma,625,"<100
",<1,4,masculino cas/viu,sim,1,26,banco,proria,1,nao qualificado,1,0,0,1
222,12,existentes/pagos,educacao,1200,"Desconhecido
",1<=X<4,4,feminino div/dep/cas,nao,4,23,banco,alugada,1,qualificado,1,1,0,1
223,12,existentes/pagos,reforma,707,"<100
",1<=X<4,4,masculino solteiro,nao,2,30,banco,proria,2,qualificado,1,0,0,1
224,24,Atrasos anteriores,abrir negocio,2978,"Desconhecido
",1<=X<4,4,masculino solteiro,nao,4,32,nenhum,proria,2,qualificado,2,1,0,1
225,15,existentes/pagos,veiculo usado,4657,"<100
",1<=X<4,3,masculino solteiro,nao,2,30,nenhum,proria,1,qualificado,1,1,0,1
226,36,sem creditos/todos pagos,reforma casa,2613,"<100
",1<=X<4,4,masculino solteiro,nao,2,27,nenhum,proria,2,qualificado,1,0,0,1
227,48,existentes/pagos,reforma,10961,>=1000,4<=X<7,1,masculino solteiro,co requerente,2,27,banco,proria,2,qualificado,1,1,0,0
228,12,existentes/pagos,moveis,7865,"<100
",>=7,4,masculino solteiro,nao,4,53,nenhum,de graca,1,altamente qualificado/empresario,1,1,0,0
229,9,existentes/pagos,reforma,1478,"<100
",4<=X<7,4,masculino solteiro,nao,2,22,nenhum,proria,1,qualificado,1,0,0,0
230,24,existentes/pagos,moveis,3149,"<100
",<1,4,masculino solteiro,nao,1,22,banco,de graca,1,qualificado,1,0,0,1
231,36,existentes/pagos,reforma,4210,"<100
",1<=X<4,4,masculino solteiro,nao,2,26,nenhum,proria,1,qualificado,1,0,0,0
232,9,existentes/pagos,veiculo novo,2507,500<=X<1000,>=7,2,masculino solteiro,nao,4,51,nenhum,de graca,1,nao qualificado,1,0,0,1
235,4,Critico-outros creditos,reforma,1544,"<100
",4<=X<7,2,masculino solteiro,nao,1,42,nenhum,proria,3,nao qualificado,2,0,0,1
236,24,existentes/pagos,reforma,1823,"<100
",Desempregado,4,masculino solteiro,nao,2,30,loja,proria,1,altamente qualificado/empresario,2,0,0,0
237,6,existentes/pagos,veiculo novo,14555,"Desconhecido
",Desempregado,1,masculino solteiro,nao,2,23,nenhum,proria,1,desempregado,1,1,0,0
238,21,existentes/pagos,abrir negocio,2767,100<=X<500,>=7,4,maculino div/dep,nao,2,61,banco,alugada,2,nao qualificado,1,0,0,0
239,12,Critico-outros creditos,reforma,1291,"<100
",1<=X<4,4,feminino div/dep/cas,nao,2,35,nenhum,proria,2,qualificado,1,0,0,1
240,30,existentes/pagos,reforma,2522,"<100
",>=7,1,masculino solteiro,sim,3,39,nenhum,proria,1,qualificado,2,0,0,1
241,24,existentes/pagos,veiculo novo,915,"Desconhecido
",>=7,4,feminino div/dep/cas,nao,2,29,banco,proria,1,qualificado,1,0,0,0
242,6,existentes/pagos,reforma,1595,"<100
",4<=X<7,3,masculino solteiro,nao,2,51,nenhum,proria,1,qualificado,2,0,0,1
243,48,sem creditos/todos pagos,veiculo usado,4605,"<100
",>=7,3,masculino solteiro,nao,4,24,nenhum,de graca,2,qualificado,2,0,0,0
244,12,Critico-outros creditos,abrir negocio,1185,"<100
",1<=X<4,3,feminino div/dep/cas,nao,2,27,nenhum,proria,2,qualificado,1,0,0,1
245,12,todos pagos,qualificacao,3447,500<=X<1000,1<=X<4,4,feminino div/dep/cas,nao,3,35,nenhum,proria,1,nao qualificado,2,0,0,1
246,24,existentes/pagos,abrir negocio,1258,"<100
",4<=X<7,4,masculino solteiro,nao,1,25,nenhum,proria,1,qualificado,1,1,0,1
247,12,Critico-outros creditos,reforma,717,"<100
",>=7,4,masculino solteiro,nao,4,52,nenhum,proria,3,qualificado,1,0,0,1
248,6,sem creditos/todos pagos,veiculo novo,1204,100<=X<500,1<=X<4,4,masculino solteiro,nao,1,35,banco,alugada,1,qualificado,1,0,1,1
249,24,existentes/pagos,moveis,1925,"<100
",1<=X<4,2,masculino solteiro,nao,2,26,nenhum,proria,1,qualificado,1,0,0,1
250,18,existentes/pagos,reforma,433,"<100
",Desempregado,3,feminino div/dep/cas,co requerente,4,22,nenhum,alugada,1,qualificado,1,0,0,0
251,6,Critico-outros creditos,veiculo novo,666,>=1000,4<=X<7,3,feminino div/dep/cas,nao,4,39,nenhum,proria,2,nao qualificado,1,1,0,1
252,12,existentes/pagos,moveis,2251,"<100
",1<=X<4,1,feminino div/dep/cas,nao,2,46,nenhum,proria,1,nao qualificado,1,0,0,1
253,30,existentes/pagos,veiculo novo,2150,"<100
",1<=X<4,4,feminino div/dep/cas,sim,2,24,banco,proria,1,qualificado,1,0,0,0
254,24,Atrasos anteriores,moveis,4151,100<=X<500,1<=X<4,2,masculino solteiro,nao,3,35,nenhum,proria,2,qualificado,1,0,0,1
255,9,existentes/pagos,moveis,2030,"Desconhecido
",4<=X<7,2,masculino solteiro,nao,1,24,nenhum,proria,1,qualificado,1,1,0,1
256,60,Atrasos anteriores,reforma,7418,"Desconhecido
",1<=X<4,1,masculino solteiro,nao,1,27,nenhum,proria,1,nao qualificado,1,0,0,1
257,24,Critico-outros creditos,reforma,2684,"<100
",1<=X<4,4,masculino solteiro,nao,2,35,nenhum,proria,2,nao qualificado,1,0,0,1
258,12,todos pagos,reforma,2149,"<100
",1<=X<4,4,maculino div/dep,nao,1,29,nenhum,de graca,1,qualificado,1,0,0,0
259,15,existentes/pagos,veiculo usado,3812,100<=X<500,<1,1,feminino div/dep/cas,nao,4,23,nenhum,proria,1,qualificado,1,1,0,1
260,11,Critico-outros creditos,reforma,1154,100<=X<500,Desempregado,4,feminino div/dep/cas,nao,4,57,nenhum,proria,3,nao qualificado,1,0,0,1
261,12,existentes/pagos,moveis,1657,"<100
",1<=X<4,2,masculino solteiro,nao,2,27,nenhum,proria,1,qualificado,1,0,0,1
262,24,existentes/pagos,reforma,1603,"<100
",>=7,4,feminino div/dep/cas,nao,4,55,nenhum,proria,1,qualificado,1,0,0,1
263,18,Critico-outros creditos,veiculo novo,5302,"<100
",>=7,2,masculino solteiro,nao,4,36,nenhum,de graca,3,altamente qualificado/empresario,1,1,0,1
264,12,Critico-outros creditos,educacao,2748,"<100
",>=7,2,feminino div/dep/cas,nao,4,57,banco,de graca,3,nao qualificado,1,0,0,1
265,10,Critico-outros creditos,veiculo novo,1231,"<100
",>=7,3,masculino solteiro,nao,4,32,nenhum,proria,2,nao qualificado,2,0,1,1
266,15,existentes/pagos,reforma,802,"<100
",>=7,4,masculino solteiro,nao,3,37,nenhum,proria,1,qualificado,2,0,0,0
267,36,Critico-outros creditos,abrir negocio,6304,"Desconhecido
",>=7,4,masculino solteiro,nao,4,36,nenhum,proria,2,qualificado,1,0,0,1
268,24,existentes/pagos,reforma,1533,"<100
",<1,4,feminino div/dep/cas,nao,3,38,loja,proria,1,qualificado,1,1,0,1
269,14,existentes/pagos,veiculo novo,8978,"<100
",>=7,1,maculino div/dep,nao,4,45,nenhum,proria,1,altamente qualificado/empresario,1,1,1,0
271,18,existentes/pagos,veiculo novo,2662,"Desconhecido
",4<=X<7,4,masculino solteiro,nao,3,32,nenhum,proria,1,qualificado,1,0,1,1
272,12,Critico-outros creditos,moveis,1402,500<=X<1000,4<=X<7,3,feminino div/dep/cas,nao,4,37,nenhum,alugada,1,qualificado,1,1,0,1
273,48,todos pagos,veiculo novo,12169,"Desconhecido
",Desempregado,4,masculino solteiro,co requerente,4,36,nenhum,de graca,1,altamente qualificado/empresario,1,1,0,1
274,48,existentes/pagos,reforma,3060,"<100
",4<=X<7,4,masculino solteiro,nao,4,28,nenhum,proria,2,qualificado,1,0,0,0
275,30,existentes/pagos,reforma casa,11998,"<100
",<1,1,maculino div/dep,nao,1,34,nenhum,proria,1,nao qualificado,1,1,0,0
276,9,existentes/pagos,reforma,2697,"<100
",1<=X<4,1,masculino solteiro,nao,2,32,nenhum,proria,1,qualificado,2,0,0,1
277,18,Critico-outros creditos,reforma,2404,"<100
",1<=X<4,2,feminino div/dep/cas,nao,2,26,nenhum,proria,2,qualificado,1,0,0,1
278,12,existentes/pagos,moveis,1262,"Desconhecido
",>=7,2,maculino div/dep,nao,4,49,nenhum,proria,1,nao qualificado,1,1,0,1
279,6,existentes/pagos,moveis,4611,"<100
",<1,1,feminino div/dep/cas,nao,4,32,nenhum,proria,1,qualificado,1,0,0,0
280,24,existentes/pagos,reforma,1901,100<=X<500,1<=X<4,4,masculino solteiro,nao,4,29,nenhum,alugada,1,altamente qualificado/empresario,1,1,0,1
233,12,NULL,reforma,2141,100<=X<500,4<=X<7,3,masculino solteiro,nao,1,35,nenhum,proria,1,qualificado,1,0,0,1
281,15,Critico-outros creditos,veiculo usado,3368,>=1000,>=7,3,masculino solteiro,nao,4,23,nenhum,alugada,2,qualificado,1,1,0,1
282,12,existentes/pagos,moveis,1574,"<100
",1<=X<4,4,masculino solteiro,nao,2,50,nenhum,proria,1,qualificado,1,0,0,1
283,18,todos pagos,reforma,1445,"Desconhecido
",4<=X<7,4,masculino solteiro,nao,4,49,banco,proria,1,nao qualificado,1,0,0,1
284,15,Critico-outros creditos,moveis,1520,"Desconhecido
",>=7,4,masculino solteiro,nao,4,63,nenhum,proria,1,qualificado,1,0,0,1
285,24,Critico-outros creditos,veiculo novo,3878,100<=X<500,<1,4,maculino div/dep,nao,2,37,nenhum,proria,1,qualificado,1,1,0,1
286,47,existentes/pagos,veiculo novo,10722,"<100
",<1,1,feminino div/dep/cas,nao,1,35,nenhum,proria,1,nao qualificado,1,1,0,1
287,48,existentes/pagos,veiculo usado,4788,"<100
",4<=X<7,4,masculino solteiro,nao,3,26,nenhum,proria,1,qualificado,2,0,0,1
288,48,Atrasos anteriores,outros,7582,100<=X<500,Desempregado,2,masculino solteiro,nao,4,31,nenhum,de graca,1,altamente qualificado/empresario,1,1,0,1
289,12,existentes/pagos,reforma,1092,"<100
",1<=X<4,4,feminino div/dep/cas,sim,4,49,nenhum,proria,2,qualificado,1,1,0,1
290,24,Atrasos anteriores,reforma,1024,"<100
",<1,4,masculino cas/viu,nao,4,48,loja,proria,1,qualificado,1,0,0,0
291,12,existentes/pagos,abrir negocio,1076,"<100
",1<=X<4,2,masculino cas/viu,nao,2,26,nenhum,proria,1,qualificado,1,1,1,1
292,36,existentes/pagos,veiculo usado,9398,"<100
",<1,1,masculino cas/viu,nao,4,28,nenhum,alugada,1,altamente qualificado/empresario,1,1,0,0
293,24,Critico-outros creditos,veiculo usado,6419,"<100
",>=7,2,feminino div/dep/cas,nao,4,44,nenhum,de graca,2,altamente qualificado/empresario,2,1,0,1
294,42,Critico-outros creditos,veiculo usado,4796,"<100
",>=7,4,masculino solteiro,nao,4,56,nenhum,de graca,1,qualificado,1,0,0,1
295,48,Critico-outros creditos,abrir negocio,7629,"Desconhecido
",>=7,4,maculino div/dep,nao,2,46,banco,proria,2,altamente qualificado/empresario,2,0,0,1
296,48,existentes/pagos,moveis,9960,"<100
",<1,1,feminino div/dep/cas,nao,2,26,nenhum,proria,1,qualificado,1,1,0,0
297,12,existentes/pagos,veiculo usado,4675,"Desconhecido
",<1,1,feminino div/dep/cas,nao,4,20,nenhum,alugada,1,qualificado,1,0,0,1
298,10,existentes/pagos,veiculo novo,1287,"Desconhecido
",>=7,4,masculino solteiro,co requerente,2,45,nenhum,proria,1,nao qualificado,1,0,1,1
299,18,existentes/pagos,moveis,2515,"<100
",1<=X<4,3,masculino solteiro,nao,4,43,nenhum,proria,1,qualificado,1,1,0,1
300,21,Critico-outros creditos,moveis,2745,>=1000,4<=X<7,3,masculino solteiro,nao,2,32,nenhum,proria,2,qualificado,1,1,0,1
301,6,existentes/pagos,veiculo novo,672,"<100
",Desempregado,1,feminino div/dep/cas,nao,4,54,nenhum,proria,1,desempregado,1,1,0,1
302,36,sem creditos/todos pagos,reforma,3804,"<100
",1<=X<4,4,feminino div/dep/cas,nao,1,42,nenhum,proria,1,qualificado,1,1,0,0
303,24,Critico-outros creditos,veiculo novo,1344,"Desconhecido
",4<=X<7,4,masculino solteiro,nao,2,37,banco,proria,2,nao qualificado,2,0,0,0
304,10,Critico-outros creditos,veiculo novo,1038,"<100
",4<=X<7,4,masculino solteiro,co requerente,3,49,nenhum,proria,2,qualificado,1,1,0,1
305,48,Critico-outros creditos,veiculo novo,10127,500<=X<1000,1<=X<4,2,masculino solteiro,nao,2,44,banco,de graca,1,qualificado,1,0,0,0
306,6,existentes/pagos,moveis,1543,>=1000,1<=X<4,4,maculino div/dep,nao,2,33,nenhum,proria,1,qualificado,1,0,0,1
307,30,existentes/pagos,veiculo usado,4811,"Desconhecido
",4<=X<7,2,feminino div/dep/cas,nao,4,24,loja,alugada,1,nao qualificado,1,0,0,1
308,12,existentes/pagos,reforma,727,100<=X<500,<1,4,masculino cas/viu,nao,3,33,nenhum,proria,1,nao qualificado,1,1,0,0
309,8,existentes/pagos,moveis,1237,"<100
",1<=X<4,3,feminino div/dep/cas,nao,4,24,nenhum,proria,1,qualificado,1,0,0,0
310,9,existentes/pagos,veiculo novo,276,"<100
",1<=X<4,4,masculino cas/viu,nao,4,22,nenhum,alugada,1,nao qualificado,1,0,0,1
311,48,existentes/pagos,outros,5381,"Desconhecido
",Desempregado,3,masculino solteiro,nao,4,40,banco,de graca,1,desempregado,1,1,0,1
312,24,existentes/pagos,moveis,5511,100<=X<500,1<=X<4,4,masculino solteiro,nao,1,25,loja,proria,1,qualificado,1,0,0,1
313,24,existentes/pagos,moveis,3749,"<100
",<1,2,feminino div/dep/cas,nao,4,26,nenhum,proria,1,qualificado,1,0,0,1
314,12,existentes/pagos,veiculo novo,685,"<100
",4<=X<7,2,masculino cas/viu,nao,3,25,banco,proria,1,nao qualificado,1,0,0,0
315,4,existentes/pagos,veiculo novo,1494,"Desconhecido
",<1,1,masculino solteiro,nao,2,29,nenhum,proria,1,nao qualificado,2,0,1,1
316,36,todos pagos,moveis,2746,"<100
",>=7,4,masculino solteiro,nao,4,31,banco,proria,1,qualificado,1,0,0,0
317,12,existentes/pagos,moveis,708,"<100
",1<=X<4,2,masculino solteiro,sim,3,38,nenhum,proria,1,nao qualificado,2,0,0,1
318,24,existentes/pagos,moveis,4351,"Desconhecido
",1<=X<4,1,feminino div/dep/cas,nao,4,48,nenhum,proria,1,nao qualificado,1,1,0,1
319,12,Critico-outros creditos,educacao,701,"<100
",1<=X<4,4,masculino solteiro,nao,2,32,nenhum,proria,2,qualificado,1,0,0,1
320,15,Atrasos anteriores,moveis,3643,"<100
",>=7,1,feminino div/dep/cas,nao,4,27,nenhum,proria,2,nao qualificado,1,0,0,1
321,30,Critico-outros creditos,veiculo novo,4249,"<100
",Desempregado,4,masculino cas/viu,nao,2,28,nenhum,proria,2,altamente qualificado/empresario,1,0,0,0
322,24,existentes/pagos,reforma,1938,"<100
",<1,4,maculino div/dep,nao,3,32,nenhum,proria,1,qualificado,1,0,0,0
323,24,existentes/pagos,veiculo usado,2910,"<100
",4<=X<7,2,masculino solteiro,nao,1,34,nenhum,de graca,1,altamente qualificado/empresario,1,1,0,1
324,18,existentes/pagos,moveis,2659,>=1000,1<=X<4,4,masculino solteiro,nao,2,28,nenhum,proria,1,qualificado,1,0,0,1
325,18,Critico-outros creditos,veiculo novo,1028,"<100
",1<=X<4,4,feminino div/dep/cas,nao,3,36,nenhum,proria,2,qualificado,1,0,0,1
326,8,Critico-outros creditos,veiculo novo,3398,"<100
",4<=X<7,1,masculino solteiro,nao,4,39,nenhum,proria,2,nao qualificado,1,0,1,1
327,12,Critico-outros creditos,moveis,5801,"Desconhecido
",>=7,2,masculino solteiro,nao,4,49,nenhum,alugada,1,qualificado,1,1,0,1
328,24,existentes/pagos,veiculo novo,1525,>=1000,4<=X<7,4,feminino div/dep/cas,nao,3,34,nenhum,proria,1,qualificado,2,1,0,1
329,36,existentes/pagos,reforma,4473,"<100
",>=7,4,masculino solteiro,nao,2,31,nenhum,proria,1,qualificado,1,0,0,1
330,6,existentes/pagos,reforma,1068,"<100
",>=7,4,masculino solteiro,nao,4,28,nenhum,proria,1,qualificado,2,0,0,1
331,24,Critico-outros creditos,veiculo usado,6615,"<100
",Desempregado,2,masculino solteiro,nao,4,75,nenhum,de graca,2,altamente qualificado/empresario,1,1,0,1
332,18,Critico-outros creditos,educacao,1864,100<=X<500,1<=X<4,4,feminino div/dep/cas,nao,2,30,nenhum,proria,2,qualificado,1,0,0,0
333,60,existentes/pagos,veiculo novo,7408,100<=X<500,<1,4,feminino div/dep/cas,nao,2,24,nenhum,proria,1,altamente qualificado/empresario,1,0,0,0
334,48,Critico-outros creditos,veiculo usado,11590,100<=X<500,1<=X<4,2,feminino div/dep/cas,nao,4,24,banco,alugada,2,nao qualificado,1,0,0,0
335,24,sem creditos/todos pagos,moveis,4110,"<100
",>=7,3,masculino solteiro,nao,4,23,banco,alugada,2,qualificado,2,0,0,0
336,6,Critico-outros creditos,moveis,3384,"<100
",1<=X<4,1,maculino div/dep,nao,4,44,nenhum,alugada,1,altamente qualificado/empresario,1,1,0,0
337,13,existentes/pagos,reforma,2101,"<100
",<1,2,feminino div/dep/cas,sim,4,23,nenhum,proria,1,nao qualificado,1,0,0,1
338,15,existentes/pagos,quitar divida,1275,"Desconhecido
",1<=X<4,4,feminino div/dep/cas,nao,2,24,nenhum,alugada,1,qualificado,1,0,0,0
339,24,existentes/pagos,moveis,4169,"<100
",1<=X<4,4,masculino solteiro,nao,4,28,nenhum,proria,1,qualificado,1,0,0,1
340,10,existentes/pagos,moveis,1521,"<100
",1<=X<4,4,maculino div/dep,nao,2,31,nenhum,proria,1,nao qualificado,1,0,0,1
341,24,Critico-outros creditos,educacao,5743,"<100
",<1,2,feminino div/dep/cas,nao,4,24,nenhum,de graca,2,qualificado,1,1,0,1
342,21,existentes/pagos,moveis,3599,"<100
",4<=X<7,1,feminino div/dep/cas,nao,4,26,nenhum,alugada,1,nao qualificado,1,0,0,1
343,18,existentes/pagos,reforma,3213,500<=X<1000,<1,1,masculino cas/viu,nao,3,25,nenhum,alugada,1,qualificado,1,0,0,1
344,18,existentes/pagos,abrir negocio,4439,"<100
",>=7,1,masculino solteiro,co requerente,1,33,banco,proria,1,altamente qualificado/empresario,1,1,0,1
345,10,existentes/pagos,veiculo novo,3949,"<100
",<1,1,masculino solteiro,sim,1,37,nenhum,proria,1,nao qualificado,2,0,0,1
346,15,Critico-outros creditos,reforma,1459,"<100
",1<=X<4,4,feminino div/dep/cas,nao,2,43,nenhum,proria,1,nao qualificado,1,0,0,1
347,13,Critico-outros creditos,reforma,882,"<100
",<1,4,masculino solteiro,sim,4,23,nenhum,proria,2,qualificado,1,0,0,1
348,24,existentes/pagos,reforma,3758,500<=X<1000,Desempregado,1,feminino div/dep/cas,nao,4,23,nenhum,alugada,1,desempregado,1,0,0,1
349,6,Atrasos anteriores,abrir negocio,1743,100<=X<500,1<=X<4,1,masculino solteiro,nao,2,34,nenhum,proria,2,nao qualificado,1,0,0,1
351,9,existentes/pagos,quitar divida,1236,"<100
",<1,1,feminino div/dep/cas,nao,4,23,nenhum,alugada,1,qualificado,1,1,0,1
352,9,existentes/pagos,moveis,959,"<100
",1<=X<4,1,feminino div/dep/cas,nao,2,29,nenhum,proria,1,qualificado,1,0,1,0
353,18,Critico-outros creditos,veiculo usado,3229,"Desconhecido
",Desempregado,2,masculino solteiro,nao,4,38,nenhum,proria,1,altamente qualificado/empresario,1,1,0,1
354,12,sem creditos/todos pagos,reforma,6199,"<100
",1<=X<4,4,masculino solteiro,nao,2,28,nenhum,alugada,2,qualificado,1,1,0,0
355,10,existentes/pagos,educacao,727,500<=X<1000,>=7,4,masculino solteiro,nao,4,46,nenhum,de graca,1,qualificado,1,1,0,1
357,12,Critico-outros creditos,reforma,2331,"Desconhecido
",>=7,1,masculino solteiro,co requerente,4,49,nenhum,proria,1,qualificado,1,1,0,1
358,36,Atrasos anteriores,reforma,4463,"<100
",1<=X<4,4,masculino solteiro,nao,2,26,nenhum,proria,2,altamente qualificado/empresario,1,1,0,0
359,12,existentes/pagos,reforma,776,"<100
",1<=X<4,4,masculino cas/viu,nao,2,28,nenhum,proria,1,qualificado,1,0,0,1
360,30,existentes/pagos,moveis,2406,"<100
",4<=X<7,4,feminino div/dep/cas,nao,4,23,nenhum,alugada,1,qualificado,1,0,0,0
361,18,existentes/pagos,educacao,1239,"Desconhecido
",1<=X<4,4,masculino solteiro,nao,4,61,nenhum,de graca,1,qualificado,1,0,0,1
362,12,existentes/pagos,reforma,3399,"Desconhecido
",>=7,2,masculino solteiro,nao,3,37,nenhum,proria,1,altamente qualificado/empresario,1,0,0,1
363,12,Atrasos anteriores,veiculo novo,2247,"<100
",1<=X<4,2,feminino div/dep/cas,nao,2,36,loja,proria,2,qualificado,1,1,0,1
364,6,existentes/pagos,moveis,1766,"<100
",1<=X<4,1,masculino cas/viu,nao,2,21,nenhum,alugada,1,qualificado,1,0,0,1
365,18,existentes/pagos,moveis,2473,"<100
",Desempregado,4,masculino solteiro,nao,1,25,nenhum,proria,1,desempregado,1,0,0,0
366,12,existentes/pagos,abrir negocio,1542,"<100
",4<=X<7,2,masculino solteiro,nao,4,36,nenhum,proria,1,qualificado,1,1,0,1
367,18,Critico-outros creditos,veiculo usado,3850,"<100
",4<=X<7,3,masculino solteiro,nao,1,27,nenhum,proria,2,qualificado,1,0,0,1
368,18,existentes/pagos,moveis,3650,"<100
",<1,1,feminino div/dep/cas,nao,4,22,nenhum,alugada,1,qualificado,1,0,0,1
369,36,existentes/pagos,moveis,3446,"<100
",>=7,4,masculino solteiro,nao,2,42,nenhum,proria,1,qualificado,2,0,0,0
370,18,existentes/pagos,moveis,3001,"<100
",4<=X<7,2,feminino div/dep/cas,nao,4,40,nenhum,alugada,1,qualificado,1,0,0,1
371,36,existentes/pagos,veiculo novo,3079,"Desconhecido
",1<=X<4,4,masculino solteiro,nao,4,36,nenhum,proria,1,qualificado,1,0,0,1
372,18,Critico-outros creditos,reforma,6070,"<100
",>=7,3,masculino solteiro,nao,4,33,nenhum,proria,2,qualificado,1,1,0,1
373,10,Critico-outros creditos,moveis,2146,"<100
",<1,1,feminino div/dep/cas,nao,3,23,nenhum,alugada,2,qualificado,1,0,0,1
374,60,Critico-outros creditos,veiculo novo,13756,"Desconhecido
",>=7,2,masculino solteiro,nao,4,63,banco,de graca,1,altamente qualificado/empresario,1,1,0,1
375,60,todos pagos,outros,14782,100<=X<500,>=7,3,feminino div/dep/cas,nao,4,60,banco,de graca,2,altamente qualificado/empresario,1,1,0,0
376,48,todos pagos,abrir negocio,7685,"<100
",4<=X<7,2,feminino div/dep/cas,sim,4,37,nenhum,alugada,1,qualificado,1,0,0,0
377,18,Atrasos anteriores,reforma,2320,"<100
",Desempregado,2,masculino cas/viu,nao,3,34,nenhum,proria,2,qualificado,1,0,0,1
